Method,Total Profit,Total Width,Utilization %,Computation Time (ms),Products Allocated
Optimized DP,162.13,200,100.0,3.996133804321289,8
Hybrid LLM-DP,150.67000000000002,182,91.0,0.7822513580322266,7
